Internal_Product,5 HOUR XTRA GRAPE 1.93 OZ,B - PB & HONEY SAMMICH,B - RUDY FARMS - SAUSAGE AND BISCUIT TWIN,BANANAS - FRESH,BOBOS PB&J GRAPE 2.1 OZ,BODY ARMOR STRWBRY BANANA 16 OZ,BR ESPRESSO W/ CREAM 11 OZ,Bumble Bee Tuna Salad 3.5oz,CELSIUS ORANGE ENERGY 12 OZ,CELSIUS PEACH VIBE 12 OZ,DIET MOUNTAIN DEW 20 OZ,DOLE STRWBRY LEMONADE 20 OZ,DOVE BAR DARK CHOC 1.44 OZ,Dr Pepper 12oz Can,F - TURKEY HAM CHS HM WRAP,F- WHITE CASTLE BREAKFAST SANDWICH,FAIRLIFE 2% STRAWBERRY MILK 14 OZ,FL Doritos Spicy Sweet Chili LSS 1.75oz Bag,GRANDMA'S MINI VN 3.7 OZ,Haribo Gold-Bears Gummi Candy 4oz.,HY Hersheys Milk Chocolate w Almonds 1.45oz Each,KF - NY MIXED BERRY CHSCAKE CUP,Kraft Mac & Cheese Original Cups 2.05 oz.,LSS-BRIM'S BBQ PORK RINDS,LSS-CRUNCHY CHEETO,LSS-DORITOS COOL RANCH,LSS-FLAMIN HOT CHEETOS,LSS-RUFFLES CHDR & SOUR CREAM,M&M PLAIN,MF-BOSTON CREME HONEY BUN,MF-CHOCOLATE MINI DONUTS,MINUTE MAID FRUIT PUNCH 20 OZ,MOUNTAIN DEW ZERO 20 OZ,ORANGE FANTA 20 OZ,Pillsbury Mini SOFT BAKED Chocolate Chip Cookies Bag 3oz,Pillsbury Soft Baked Confetti Cookies 3oz,POP CHIP BBQ .8 OZ,SKITTLES ORIG GUMMIES 5.8 OZ,STARBUCKS DOUBLESHOT + ENG-VAN 15 OZ,STONIES PEPR/CHS/JAL .98 OZ,Sweet Serenity Choc Chip 3 oz,SWEET SERENITY CHOC CHIP COOKIES 3 OZ,YOO HOO CHOC. 11 OZ CANS
J&J Products Jalapeno BBQ Stick with Cheese (1oz),,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Culinary Center Half Tuna Salad (4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otis Spunkmeyer Chocolate Chip Walnuts Cookie Dough 58802 (20lb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otis Spunkmeyer Double Chocolate Chip Cookie Dough (20lb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kraft Philadelphia Whipped Cream Cheese (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kraft Philadelphia Whipped Cream Cheese (11.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensure Original Dark Chocolate Shake (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deans TruMoo Chocolate Protein Plus Milk (16oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doritos Nacho Cheese (3.375oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lays Kettle Cooked Jalapeno (2.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deans TruMoo Vanilla Protein Plus Milk (16oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Bites Fish & Cheese Sandwich (5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadow Gold Viva 1% Low Fat Milk (1gal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Organic Lactose Free 2% Milk (.5gal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre BBQ Rib Sandwich (5.37oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonys Cheese Pizza (5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scobee Sausage Egg & Cheese Buttermilk Biscuit (6oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rye Street Turkey Sausage Egg White & Cheese Muffin (5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifestyle Foods Classic Ham & Cheese Sandwich on Ciabatta (6oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bit-O-Honey (4.2oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zzzAppleways Chocolate Oatmeal Bar #70320 (1.2oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love & Quiches Classic Chocolate Brownie (2oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java To Go White Chocolate Caramel Cappuccino (2lb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java To Go Cookies N Creme Cappuccino (2lb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Performance Chocolate Muffin (4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Performance Chocolate Banana Muffin (4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep River Organic Honchos Nacho Cheese Tortilla Chip (1.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep River Peach Habanero Tortilla Chip (1.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE Energy Smart CFL Bulb (13Watts, Pack of 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snyders Honey Mustard Onion Pretzel Pieces (12oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slushy To Go Peach (64oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Think Thin Fiber Milk Chocolate Toffee Almond (1.76oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple Truth Organic Soy Milk (.5gal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoPicnic Turkey Pepperoni & Cheese (3.2oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGF 0245 Pimento Cheese & Ham (5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGF 0501 Bacon Egg & Cheese Toast (5.3oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Deli Hickory BBQ Kettle Chips (1.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookside Dark Chocolate Crunchy Clusters (23oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindt Assorted Chocolate Truffles (9.3oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Grahams Honey (10oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wise BBQ Dipsy Doodles (1.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wow Chocolate Wheat & Gluten Free Brownie (2.75oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nestle Hot Chocolate No Sugar (.28oz, Box of 30)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tastykake Boston Creme Honey Bun (5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
Turkey Hill Organic Peach Black Tea (16oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscle Milk 100 Calories Chocolate (14oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun-Maid Blueberry Greek Yogurt Chips Cookies (1.75oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepperidge Farm Whole Grain Goldfish Cheddar Cheese (1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chex Chocolate Cereal (12.8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oroweat Country Buttermilk Bread (24oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Califia Farms Vanilla Almond Milk (48oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Farms Fat Free Strawberry Milk (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Farms Fat Free Vanilla Milk (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dietz & Watson Cheddar Cheese (7.6oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Pockets Macaroni & Cheese (4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toucan Flan Cheesecake Flan (2.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toucan Flan Chocolate Flan (2.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halls Honey-Lemon Menthol Drops Triple Soothing Action (Pack of 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty Crocker Double Chocolate Oatmeal Bar (1.24oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hersheys Milk Chocolate Santa (1.2oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borden Whole Milk (16oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borden 1% Lowfat Chocolate Milk (16oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frigo CheeseHeads Light String Cheese (1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruchan Instant Cheddar Cheese (2.25oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Protein Chocolate Peanut Butter Bar (1.76oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Protein Chocolate Deluxe Bar (1.76oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Protein Chocolate & Vanilla Bar (1.76oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Protein Chocolate Chip Bar (1.76oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracker Jackd Chocolate Caramel Hearty Mix (3oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kraft Philadelphia Cream Cheese (16oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockstar Energy Horchata (15oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellogg Special K Oats & Honey Cereal (13.1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Boulanger White Buttermilk Pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Hot Chocolate (2lb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annies Macaroni & Cheese (6oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoDelicious Dairy Free Unsweetened Coconut Milk (32oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Fresh Egg & Cheese Bagel (4.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Fresh Sausage & Cheese Bagel (4.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Fresh Canadian Bacon Egg & Cheese English Muffin (4.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Fresh Egg & Cheese English Muffin (4.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Fresh Sausage & Cheese English Muffin (4.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Fresh Cookies & Cream (6.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature Nates 100% Pure Raw Honey (40oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starbucks Frappuccino White Chocolate Mocha (9.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toufayan Plain Bagel with Cream Cheese (4.3oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Ballz Chocolate (Pack of 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Ballz Cookies & Cream (Pack of 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talking Rain Peach Nectarine Sparkling ICE (17oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degree Expert Fresh Energy (.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bark Thins Dark Chocolate Almond (4.7oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bark Thins Dark Chocolate Pretzel (4.7oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dietz & Watson Provolone Cheese (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Pockets Applewood Egg & Cheese (4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nestle Cookies n Cream Ice Cream Bar (3oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oreo Cookie (5.25oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skinny Cow Strawberry Cheesecake Ice Cream (5.8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toufayan Everything Bagel with Cream Cheese (4.3oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Hour Energy Patriotic Cherry (1.93oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone Perfectly Simple Oatmeal Chocolate Chip Bar (1.58oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin Cheese Co Sharp Cheddar Stick (1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin Cheese Co Pepperoni Marble Stick (1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin Cheese Co Colby Jack Stick (1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin Cheese Co String Cheese (1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin Cheese Co Muenster Stick (1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnum Infinity Chocolate Bar (3.38oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot N Ready Split Sausage Egg Cheese Biscuit (6.8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot N Ready Sausage Egg Cheese Pretzel Flatbread (4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot N Ready Canadian Bacon Egg White Cheese Pretzel Flatbread (3.2oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamrock Farms Rockin' Refuel Lowfat Chocolate Recovery (12oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frigo CheeseHeads Jack & Cheddar Cheese Variety (.83oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alter Eco Organic Dark Quinoa Chocolate (2.82oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipton Peach Tea Bag in Box (3gal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitzee Butternut Squash Mac n Cheese (8.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildwood Soymilk Original Unsweetened (.5gal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindt Lindor Assorted Chocolate Truffles (5.1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabrita Mango Peach Goat Milk Yogurt (4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10th Tee Chocolate Peanut Caramel Back Nine Golf Energy Bar (1.76oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Better Bakery Philly Cheesesteak Pretzel Melt (6.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Freshleys Boston Creme Honey Bun (5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
Twix Gingerbread Cookie Bars (10oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powered On Refreshment Peach Mango (16.9oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Erickson Old Fashion Cottage Cheese (12oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGF 5571 Shaved Turkey & Cheese (5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Babybel Mini Light Cheese (.75oz, Bag of 26)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Organic DHA Omega-3 2% Reduced Fat Milk (.5gal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Bolds Buffalo Wing Blue Cheese (1.375oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chefs Choice Ham & Cheese (10oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chefs Choice Tuna Salad Wheat Hoagie (10oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chefs Choice BBQ Pulled Chicken Sandwich (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chefs Choice Beef & Cheese (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chefs Choice Spinach Egg & Cheese Breakfast Sandwich (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chefs Choice Tuna Salad Whole Wheat Sandwich (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chefs Choice Turkey & Cheese Half Wrap (5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Nut & Fruit Hi Energy Mix (3.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Lana Cassava BBQ Chips (1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HomeFree Organic Gluten Free Vanilla Mini Cookie (1.1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HomeFree Organic Gluten Free Chocolate Chip Cookies (1.1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Crosse Chicken & Cheese Taco Wrap (6oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Crosse Braunschweiger & Cheese on a Bun (4.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Whole Earth Cheesy Cheese Puffs (.78oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi Ball Peach Sparkling Energy Water (16oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walkers Shortbread Chocolate Chip Rounds (4.9oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockstar Roasted White Chocolate with Almond Milk (15oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Cheeseburger (6.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Egg & Cheese Sandwich (6.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Bacon & Cheese Sandwich (6.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Sausage & Cheese Sandwich (6.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Spicy Chicken Egg & Cheese Sandwich (6.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Bacon Egg & Cheese Sandwich (6.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Sausage Egg & Cheese Sandwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Turkey Sausage Egg & Cheese Sandwich (6.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGF 9867 Pimento Cheesee & Bacon Burger on Pretzel Roll (10oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGF 0654 Bacon Egg & Cheese on Grilled Pita (10oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGF 0655 Sausage Egg & Cheese on Grilled Pita (10oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGF 0656 Turkey Sausage Egg & Cheese on English Muffin (10oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halls Honey-Lemon Chamomile (Pack of 25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Premium Fat Free Milk (14oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Wood Honey Ham (22oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Wood White American Cheese (2lb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sue Bee Honey Packets (Pack of 200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blair's Death Rain Chipotle Kettle Cooked Potato Chip (2oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HomeFree Gluten Free Crunchy Chocolate Chip Cookies (5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemps 2% Reduced Fat Chocolate Milk (16oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rye Street Grilled Cheese Hot Sandwich (3.75oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Serving IgniteEnergy (9.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Freshleys Chocolate Chip Cookie Bar (1.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheerios Chocolate (22oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pepperidge Farm Milano Cookies (.75oz, Pack of 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Culinary Center Blueberry with Cream Cheese Bagel (4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Culinary Center Cinnamon Raisin with Cream Cheese Bagel (3.75oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Culinary Center Monster Cookie (3.75oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duchess Jumbo Iced Honey Bun (5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deans TruMoo Chocolate Milk (.5pt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annies Real Aged Cheddar Macaroni & Cheese (2.01oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safeway Honey Wheat Enriched Bread (20oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballpark Double Play Twin Chili Cheese Dogs (8.4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vittoria Chocolate Macadamia Nut (2.25oz, Box of 20)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Farm Fat Free Milk (1qt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Farm Whole Milk (1qt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy Pure Whole Milk (1gal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Farm Fat Free Skim Milk (1gal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Fresh Fruit & Cheese Snack Box (5.9oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busy Bee Clover Honey (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi Ball Vanilla Sparkling Energy Water (16oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noosa Honey Yogurt (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noosa Peach Yogurt (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET-Rx Protein Plus Chocolate Chocolate Chunk (3oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET-Rx Protein Plus Chocolate Roated Peanut (3oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennets BBQ Chicken Sandwich (8oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
